discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,11,6,5,0.5454545454545454,0.45454545454545453,324.6352937,359.5157112,423.6383574
combo_002,Si1,Si1,15,11,4,0.7333333333333333,0.26666666666666666,262.5767887,372.14696136363636,429.2655822
combo_003,Si2,PU,10,2,8,0.2,0.8,330.6182631,348.7284564,366.8386497
combo_004,Si2,Si2,11,6,5,0.5454545454545454,0.45454545454545453,265.2624785,317.81291895,375.0443167
combo_005,Si3,PU,18,8,10,0.4444444444444444,0.5555555555555556,288.8699919,363.0943451125,427.3821429
combo_006,Si3,Si3,11,6,5,0.5454545454545454,0.45454545454545453,327.0368826,358.7280355,375.086076
combo_007,A1,PU,17,9,8,0.5294117647058824,0.47058823529411764,266.0174615,360.75312622222225,407.2090514
combo_008,A1,Si1,17,10,7,0.5882352941176471,0.4117647058823529,263.5845894,339.5612666,391.7498785
combo_009,A1,Si2,13,8,5,0.6153846153846154,0.38461538461538464,325.5236821,365.3491399,410.87241
combo_010,A1,Si3,12,7,5,0.5833333333333334,0.4166666666666667,269.7775331,357.78793164285713,407.2906475
combo_011,A2,PU,14,7,7,0.5,0.5,329.0825179,382.2703386,412.4210531
combo_012,A2,Si1,11,3,8,0.2727272727272727,0.7272727272727273,363.4522062,383.0943133,397.6102241
combo_013,A2,Si2,15,6,9,0.4,0.6,291.3035203,365.66172258333336,411.7984309
combo_014,A2,Si3,11,5,6,0.45454545454545453,0.5454545454545454,292.3628725,346.83412788,393.2390852
